title,rating,genres,votes,synopsis,age_rating,mainLead1,mainLead2,startYear,endYear,writer,director,id,runtimeMinutes,image_url
A Time Called You,8.0,"Drama,Fantasy,Mystery",7K,"A grieving woman magically travels through time to 1998, where she meets a man with an uncanny resemblance to her late love.",TV-14,Ahn Hyo-seop,Ahn Hyo-seop,2023,\N,['Choi Hyo Bi'],['Kim Jin-won'],tt21627438,60,"https://m.media-amazon.com/images/M/MV5BZGZkYjQyYjYtMjRhYy00Mjc0LTk2NDMtZmUyYWM0YzA2OTc2XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
My Dearest,8.9,"Drama,History,Romance",4.5K,A love-story between a noble woman and a mysterious man set in Joseon during the Qing invasion,TV-MA,Min Nam-koong,Lee Ho-Cheol,2023,2023,['Hwang Jin-young'],"['Lee Han-Joon', 'Kim Sung-yong']",tt26228190,80,"https://m.media-amazon.com/images/M/MV5BZjc5ZDllZjAtMjJmMC00ZGRmLWE3NjYtYmMxMjUxNGI3OTBlXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Flower of Evil,8.5,"Crime,Mystery,Romance",18K,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life. But his facade begins to crumble when his wife, a homicide detective, begins investigating murders from 15 years ago.",TV-14,Lee Joon-gi,Lee Joon-gi,2020,2020,['Yoo Jung-Hee'],['Kim Cheol-gyu'],tt11691684,70,"https://m.media-amazon.com/images/M/MV5BZDI2YTZmMmQtMGE5NS00YWU2LTk1MDktMDQxMDYzNGI5MDA5XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Love Next Door,7.6,"Comedy,Romance",9.4K,"Renowned young architect Choi Seung-hyo runs the atelier ""In."" Bae Seok-ryu, his childhood friend, rejoins his life after quitting her corporate job, resurfacing memories he'd rather forget from their peculiar childhood bond.",,Jung Hae-in,Jung So-min,2024,\N,['Ha Eun Shin'],['Je Won Yu'],tt30446769,60,"https://m.media-amazon.com/images/M/MV5BZDg2M2Y4NWQtMGY3NS00ODE3LWFmMWEtYjgyZjVjZmU0YTU5XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Taxi Driver,8.1,"Action,Crime,Drama",8.3K,The story of a deluxe taxi driver who gets revenge on behalf of his passengers. It is based on the webtoon Deluxe Taxi by Carlos and Lee Jae-jin,,Lee Je-hoon,Kim Eui-sung,2021,\N,"['Carlos', 'Lee Jae-jin', 'Lee Ji-hyun', 'Oh Sang-ho']","['Joon-Woo Park', 'Bo-Seung Kang']",tt13759970,70,"https://m.media-amazon.com/images/M/MV5BMGM1NmE1OTktZjQ1Ny00N2I0LWI1NTktYTFmMjJkODVmNWM4XkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
The Worst of Evil,8.3,"Action,Crime,Drama",7.1K,"In the 1990s, a police officer goes undercover to infiltrate a mega crime syndicate that distributes illegal drugs across South Korea, China and Japan. His wife, a narcotics officer, is also involved.",TV-MA,Ji Chang-wook,Ji Chang-wook,2023,\N,['\\N'],['Han Dong Wook'],tt20600022,\N,"https://m.media-amazon.com/images/M/MV5BZmQxNjYyOWYtN2NiZi00ODBmLTk0ZTMtNTgxMzczMmVlZjVmXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
To the Moon,8.0,,45,"Based on Jang Ryu-Jin's best-selling novel, the series follows three women exhausted by monotonous jobs and mediocre salaries. They pin their hopes on criptomoeda, dreaming of prices skyrocketing - all the way to the moon.",,,,,,['nm17675317'],"['Oh Da-Yeong', 'Jung Hoon']",tt38257806,,"https://m.media-amazon.com/images/M/MV5BNTcyOTgzMjEtNDcwMS00YTdlLTgwYzYtZDM0MjQ1NTdmYTg2XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Hometown Cha-Cha-Cha,8.3,"Comedy,Drama,Romance",27K,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",TV-14,Shin Min-a,Kim Seon-ho,2021,2021,['Ha Eun Shin'],['Je Won Yu'],tt14518756,70,"https://m.media-amazon.com/images/M/MV5BZWFiNjBjNDQtMjMwMC00Y2Q3LWFkN2EtOGQ1MDM2M2U3YTk1XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Descendants of the Sun,8.2,"Action,Comedy,Drama",27K,This drama tells of the love story that develops between a surgeon and a special forces officer.,TV-14,Song Joong-ki,Song Hye-kyo,2016,2016,"['Kim Eun-sook', 'Won-Suk Kim']","['Baek Sang-Hoon', 'Lee Eung-bok']",tt4925000,60,"https://m.media-amazon.com/images/M/MV5BYTQ3MWI2MjEtM2Q3NS00YjU4LWFkZGItNDA0OTc2NjcwZWY3XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Gyeongseong Creature,7.4,"Action,Drama,History",16K,"In Spring 1945 in Gyeongseong, during Japanese rule over Korea, two young adults confront a strange creature born of greed, and battle against it for survival.",TV-MA,Park Seo-joon,Han So-hee,2023,\N,['Kang Eun-kyung'],"['Jo Yeong-Min', 'Chung Dong Yoon', 'Roh Youngsub', 'Jeong Dong-yun']",tt22352854,60,"https://m.media-amazon.com/images/M/MV5BMWI1N2I5ZGQtNTFkMC00MjIxLTgxNTQtZTgzNDU2YjhkN2JkXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Moon Lovers: Scarlet Heart Ryeo,8.6,"Action,Drama,Fantasy",15K,"Ha-jin travels 1000 years back in time and lands in the era of Goryeo Dynasty as a young girl named Hae-soo. She, now trapped in another person's body, becomes involved in a power struggle against various vicious contenders to the throne.",TV-14,Lee Joon-gi,IU,2016,2016,"['Hua Tong', 'Yoon-Young Jo']",['Kim Kyoo-tae'],tt5320412,60,"https://m.media-amazon.com/images/M/MV5BZTRlOTc3ZTItMzE3MC00MTExLTg4OWMtNmFiMTAwYTM5ZjMzXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Newtopia,6.6,"Action,Comedy,Fantasy",10K,"A soldier faces a zombie outbreak during military service. His girlfriend, an engineer, navigates zombie-ridden Seoul. Both fight through the undead-infested city, striving to reunite amid the chaos.",,Park Jeong-min,Kim Jisoo,2025,\N,"['Ji Ho Jin', 'Han Jin-won']",['Yoon Sunghyun'],tt32199328,60,"https://m.media-amazon.com/images/M/MV5BNTk3ZTY5NzUtNzQ4NS00ZDY2LWI4M2YtOWI4MzY1N2I1YjEwXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Stranger,8.4,"Crime,Drama,Mystery",12K,"With the help of a gutsy female detective, a prosecutor who has almost lost the ability to feel emotions tackles a strange murder case amid political corruption.",TV-14,Cho Seung-woo,Bae Doona,2017,2020,['Soo Yun Lee'],"['Ahn Gil-ho', 'Park Hyun Suk']",tt6461346,60,"https://m.media-amazon.com/images/M/MV5BOWU2YjRlOGMtNDdiMC00YWU2LWEwOWEtMmVhYzA3MmY0MGRlXkEyXkFqcGc@._V1_QL75_UY266_CR2,0,180,266_.jpg"
The Uncanny Counter,8.0,"Action,Fantasy,Horror",14K,"Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans.",TV-14,Jo Byeong-gyu,Yoo Joon-sang,2020,2023,"['Se-bom Kim', 'Ji Na Yeo', 'Jang Yi', 'Seon-Dong Yu']",['Seon-Dong Yu'],tt13273826,65,"https://m.media-amazon.com/images/M/MV5BMWE5NGQ5YmUtZGU1Ny00ZDM3LWIyZGMtZWI0YWRkZTM0Y2I4XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
A Shop for Killers,8.0,"Action,Drama,Mystery",9K,"An action drama in which a niece who lost her parents and grew up in the hands of an uncle who runs a shopping mall, faces a new truth after her uncle's sudden death.",TV-MA,Lee Dong-wook,Kim Hye-jun,2024,\N,"['Ji Ho Jin', 'Kwon Lee']",['\\N'],tt26450613,50,"https://m.media-amazon.com/images/M/MV5BZmY4ZTI3Y2QtNWIxMS00YzU4LWEyYjItZDgzYjA5NzU3ZjY2XkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Signal,8.5,"Crime,Drama,Fantasy",11K,A cold-case profiler in 2015 and a detective in 1989 work together to solve a series of related murders spanning three decades using a special walkie-talkie to communicate with each other.,,Lee Je-hoon,Kim Hye-su,2016,2016,['Kim Eun-hee'],['Kim Won-seok'],tt5332206,80,"https://m.media-amazon.com/images/M/MV5BNzM5Njc3YTctMmIzNi00Mjk2LWFhYjUtNTk5ODFkOTU3YzhiXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Our Movie,8.9,"Drama,Romance",2.1K,"A film director in a slump falls in love with a terminally ill actress, who finally tries to live as the main character at the end of her own life.",,Min Nam-koong,Jeon Yeo-been,2025,\N,"['Han Ga Eun', 'Kang Gyeong Min']",['Jung-Heum Lee'],tt36807294,70,"https://m.media-amazon.com/images/M/MV5BMDc5ZWQwZGMtOWQyMy00MDZkLTlmMGEtOGZjMTc3YzE5NGVlXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Dear Hongrang,7.6,"Drama,History,Mystery",3.2K,"Jae-i's search for her brother takes her on a journey of self-discovery and love. Along the way, she must confront the dark secrets of her family and the dangers of the Joseon era.",TV-MA,Lee Jae-wook,Jo Bo-ah,2025,\N,['Jin A Kim'],['Kim Hong-sun'],tt27554348,60,"https://m.media-amazon.com/images/M/MV5BZjBlZDVlZDgtMGZlNC00OGU4LWFjZjYtZDhhY2Y1YjczMTRmXkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
The Trauma Code: Heroes on Call,8.4,Drama,9.3K,An elite team of trauma specialists at a university hospital led by the genius doctor Baek Kang-hyeok.,TV-MA,Ju Ji-hoon,Choo Young-woo,2025,\N,"['Tae-Kang Choi', 'So Hyun-kyung']",['Do-yun Lee'],tt28106730,55,"https://m.media-amazon.com/images/M/MV5BYzY4YmRmNmQtNTM4OC00NjhiLTk1ODQtZWRiMDY5NTAyNDliXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Vagabond,8.1,"Action,Mystery,Thriller",14K,An ordinary man who comes across surprising circumstances that place him in the center of a huge corruption scandal.,TV-MA,Lee Seung-gi,Bae Suzy,2019,2019,"['Young Chul Jang', 'Kyung Soon Jung', 'Lee Yong-seok']",['Yu In-sik'],tt8523042,60,"https://m.media-amazon.com/images/M/MV5BY2M0NDExNTUtYTA2My00ZGY4LTgwZjEtMThiODY3ZTdmNWFmXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Itaewon Class,8.1,"Drama,Romance",24K,"An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death.",TV-MA,Park Seo-joon,Kim Da-mi,2020,2020,['Gwang Jin'],['Kim Seong-yoon'],tt11239552,70,"https://m.media-amazon.com/images/M/MV5BODEyZmVlMWEtYjNmNS00MTQ5LThlMzgtZjM4YjNhMGVkZWI4XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
What's Wrong with Secretary Kim,8.0,"Comedy,Mystery,Romance",24K,Follows the budding romance between a perfect but narcissistic second-generation heir and his capable assistant.,TV-G,Park Min-young,Park Seo-joon,2018,2018,"['Jung Eun-Young', 'Kyung-Yoon Jung']","['Ji Yeong Choi', 'Park Joon-hwa']",tt8242904,60,"https://m.media-amazon.com/images/M/MV5BOTgxYzZlMmYtZDJiMy00MjMxLWFmNjQtZDg4YjJhYjQzNjBjXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
The 8 Show,7.2,"Comedy,Drama,Horror",20K,"Eight contestants in financial hardship take part in Money Game, a reality competition with 44.8 billion won up for grabs. To win they must endure 100 days in a sparse studio as all purchases carry a 1000x markup, subtracted from the prize",TV-MA,Park Hae-joon,Ryu Jun-yeol,2024,\N,['Bae Jin Soo'],"['Kate Marley', 'Han Jae-rim']",tt30423279,60,"https://m.media-amazon.com/images/M/MV5BYjM1OWEzZDctMTZkZS00ZjIyLTk5OGEtZGIzZWZhNjNlNmM5XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
The King's Affection,8.0,"Drama,Romance",7.9K,"The story is set during the Joseon Dynasty when twins were considered an ominous sign. When the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace.",TV-PG,Park Eun-bin,Park Eun-bin,2021,\N,"['Han Hee-Jung', 'Lee So-Young']",['Hyun Wook Song'],tt14609428,\N,"https://m.media-amazon.com/images/M/MV5BMjQ4OGFkZDItY2I2MC00YzI0LTliZmUtNGFhODUwYjZkZGM3XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Light Shop,7.8,"Drama,Horror,Mystery",5.8K,The living and the dead intersect as this world and the afterlife are connected through a store selling lighting.,TV-MA,Bae Sung-woo,Ju Ji-hoon,2024,\N,['Kang Full'],['Kim Hee-won'],tt31014115,40,"https://m.media-amazon.com/images/M/MV5BMmVmMjFjMmItMjRkMC00ODUzLTk3YzgtMDg4YTBlYmQ4ZDY1XkEyXkFqcGc@._V1_QL75_UY266_CR17,0,180,266_.jpg"
Destined with You,7.6,"Comedy,Drama,Fantasy",8.2K,"Follows a successful lawyer who has everything, but who is plagued by a family curse, and turns out that the one who holds the secret to breaking it is the seemingly ordinary civil servant.",TV-MA,Jo Bo-ah,Jo Bo-ah,2023,2023,['Noh Ji Sul'],['Nam Ki Hoon'],tt27974068,70,"https://m.media-amazon.com/images/M/MV5BMThjOGNlMGYtNzYzYy00NTVjLThiMGQtMDZjNTBlMDdmMWQwXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
When the Phone Rings,5.8,"Drama,Mystery,Romance",91K,"Baek Sa Eon, a former presidential spokesman, marries Hong Hui Ju, a mute newspaper heiress, in an arranged union. When Hui Ju is kidnapped, their distant relationship is challenged as they navigate the crisis.",TV-14,Yoo Yeon-seok,Chae Soo-bin,2024,\N,['Ji Woon Kim'],['Park Sang Woo'],tt33503491,60,"https://m.media-amazon.com/images/M/MV5BZWMyMjRkYzMtZDMyNS00ZTEwLTg3ZmMtYTljZDMxMjg2MjNhXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Marry My Husband,7.8,"Comedy,Drama,Fantasy",11K,"A story about Ji-won who after being killed by her husband who had an affair with her best friend, goes back 10 years in the past and has a chance to change her fate.",13+,Park Min-young,Na In-woo,2024,2024,"['Seong So Jak', 'Shin Yudam']",['Won-Kook Park'],tt26628595,60,"https://m.media-amazon.com/images/M/MV5BZTY0MTI2OWQtNmMwOS00YmRkLWJhMWMtZjkxZjgwZjA2ZDU0XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Strong Girl Bong-soon,8.1,"Comedy,Crime,Drama",22K,"Do Bong-soon is a woman born with superhuman strength that comes from the long line of women possessing it. when Ahn Min Hyuk, the CEO of ainsoft, a gaming company witnesses her strength he hires her as his personal bodyguard.",TV-14,Park Bo-young,Park Hyung-sik,2017,2017,['Baek Mi-kyeong'],['Lee Hyeong-min'],tt6263222,67,"https://m.media-amazon.com/images/M/MV5BZTliMWVjYmYtNmQ2My00Y2UxLWJiZjQtNTg1OTk0OGE0M2IzXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Arthdal Chronicles,8.2,"Action,Drama,Fantasy",6.9K,"""Arthdal Chronicles"" depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes--their struggle, unity, and love of people living in a virtual land called Arth.",,Kim Ok-bin,Jang Dong-gun,2019,2023,"['Sang-yeon Park', 'Young-Hyun Kim']",['Kim Won-seok'],tt8750956,80,"https://m.media-amazon.com/images/M/MV5BZDM4OWY2NDgtOGUxZC00YjMzLWI0ZWYtMDU5NDY4NDgwMmY5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
W,8.0,"Action,Comedy,Drama",17K,"Yeon-joo discovers that W, a webtoon created by her father, is a living world and saves the protagonist, Kang Chul. A confused Kang Chul falls in love with her and follows her to the real world.",,Lee Jong-suk,Han Hyo-joo,2016,2016,"['David Bannon', 'Jae-Jeong Song']",['Dae Yoon Jung'],tt5797194,60,"https://m.media-amazon.com/images/M/MV5BOWUxOGM1OTAtYzI4Ni00YzVlLTk4ZmYtNTkzMjJlMGVjOTZiXkEyXkFqcGc@._V1_QL75_UY266_CR5,0,180,266_.jpg"
The K2,7.8,"Drama,Romance,Thriller",12K,"A highly trained special ops agent goes off the grid after being framed for murder, and is hired as a bodyguard when the powerful and influential father of a troubled girl sees his skills.",TV-14,Ji Chang-wook,Song Yun-ah,2016,2016,['Jang Hyeok-rin'],"['Jung Hwan Kwak', 'Yong-Il Sung']",tt5966882,60,"https://m.media-amazon.com/images/M/MV5BODc4NDA2MTYtMzk1Ni00OTM1LWFhOTItMDA2OWM4NTZkYzVmXkEyXkFqcGc@._V1_QL75_UY266_CR2,0,180,266_.jpg"
Beyond Evil,8.1,"Drama,Mystery,Thriller",7K,"The story of two fearless men who are willing to go through extreme lengths in their pursuit of a returning serial killer. To uncover the murderer's identity, the two are forced to look deeper than what the evidence seems to suggest.",TV-MA,Shin Ha-kyun,Yeo Jin-goo,2021,2021,['Kim Su-jin'],['Shim Na-yeon'],tt13634872,70,"https://m.media-amazon.com/images/M/MV5BMzczNWM4ZDAtYzljMC00NTcwLWFlNzAtNGQ2ZWVkZDhjOGJiXkEyXkFqcGc@._V1_QL75_UY266_CR2,0,180,266_.jpg"
While You Were Sleeping,8.3,"Comedy,Drama,Fantasy",12K,"The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true.",,Bae Suzy,Lee Jong-suk,2017,2017,['Park Hye-ryeon'],['Choong Hwan Oh'],tt6256484,30,"https://m.media-amazon.com/images/M/MV5BZTVlZmNmODctZGU0YS00MmJlLTk4NmYtYTIyZTM0NGRlMzVlXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Welcome to Samdalri,8.0,"Comedy,Drama,Romance",9.1K,"After suffering a fall from grace, a photographer returns to her hometown and bumps into her childhood friend, rekindling an unfinished romance.",TV-14,Ji Chang-wook,Shin Hye-sun,2023,\N,['Kwon Hye-joo'],['Cha Yeong-hoon'],tt26653824,60,"https://m.media-amazon.com/images/M/MV5BZTRkMmFmM2YtYmFiYi00NGZkLWIzOTUtNGYxOGMxMjRmNWRkXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
My Dearest Nemesis,7.3,"Comedy,Drama,Romance",2.7K,"Baek Su Jeong leads a planning team at a renowned department store. She meets her new boss, Ban Ju Yeon, her first love from an online game 16 years ago, stirring up memories of when he confessed his feelings but she rejected him.",,Moon Ga-young,Choi Hyun-wook,2025,\N,['Su Yeon Kim'],['Su Hyun Lee'],tt33320428,\N,"https://m.media-amazon.com/images/M/MV5BYzJjMDVmOGEtZjlkYy00YTU0LThhYTUtNzY0MDc0NGNjN2I2XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
A Killer Paradox,7.1,"Comedy,Crime,Thriller",9.3K,"When one accidental killing leads to another, an ordinary young man finds himself stuck in an endless cat-and-mouse chase with a shrewd detective.",TV-MA,Choi Woo-sik,Son Suk-ku,2024,\N,"['da-Min Kim', 'Ggomabi', 'Chang-hee Lee']",['Chang-hee Lee'],tt28642796,60,"https://m.media-amazon.com/images/M/MV5BYmU3MjZhNjYtODI2Yi00Nzg4LTg0NTctNWNmZDhhNmNiNWQ2XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg"
Hotel Del Luna,8.1,"Action,Comedy,Drama",17K,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",,IU,Yeo Jin-goo,2019,2019,"['Hong Jeong-eun', 'Hong Mi-ran']",['Choong Hwan Oh'],tt10220588,80,"https://m.media-amazon.com/images/M/MV5BZmFmYTU0YTItZTk4ZS00ZWMzLThmOTgtOGIyOTBkY2QwZjc0XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Hospital Playlist,8.7,"Comedy,Drama,Romance",10K,Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.,TV-14,Jo Jung-suk,Yoo Yeon-seok,2020,2021,['Woo-jung Lee'],['Shin Won-ho'],tt11769304,84,"https://m.media-amazon.com/images/M/MV5BZmZlMWY5MjktNDljMC00YmE1LTg0M2EtNDdhMjk0NGFiMDhhXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Our Unwritten Seoul,7.9,\N,4.2K,"Identical twin sisters with opposite lives - one a former athlete living freely, the other a corporate perfectionist switch places with each other, despite their contrasting personalities.",,Park Bo-young,Park Bo-young,2025,2025,['Kang Lee'],"['nm17729856', 'Park Shin-woo']",tt36724865,80,"https://m.media-amazon.com/images/M/MV5BZDQ2ODhjNGEtOWE3Ny00NDgzLTg0NWYtZDM0YTk3ODk0ZGRjXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Our Blues,8.6,"Drama,Romance",5K,Romance is sweet and bitter - and life riddled with ups and downs - in multiple stories about people who live and work on bustling Jeju Island.,TV-MA,Lee Byung-hun,Shin Min-a,2022,2022,['Hee-gyoung Noh'],"['Lee Jung-mook', 'Kim Kyoo-tae', 'Kim Yang-hui']",tt19115260,60,"https://m.media-amazon.com/images/M/MV5BMDUwY2ZkMGYtMTJlMi00MTg0LWJiNGItYzI5YmE3Y2UxYzBiXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg"
Hell Is Other People,7.8,"Crime,Horror,Mystery",9.8K,Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.,,Yim Si-wan,Lee Dong-wook,2019,2019,"['Yi-Do Jung', 'Kim Yong-Ki']",['Chang-hee Lee'],tt10613844,60,"https://m.media-amazon.com/images/M/MV5BZjZkNGQ2NDAtZjVkNC00ZTU3LWJkZDctNjU1OWEyNjZiMmFhXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
The King: Eternal Monarch,8.1,"Fantasy,Mystery,Romance",19K,"A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective.",TV-14,Lee Min-ho,Kim Go-eun,2020,2020,['Kim Eun-sook'],['Baek Sang-Hoon'],tt11228748,70,"https://m.media-amazon.com/images/M/MV5BMWVhNjE1OGMtMDkzYS00ZTU2LTg5ZmQtODE5NGQ3ZjgzN2M3XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Boys Over Flowers,7.7,"Comedy,Drama,Romance",16K,"Geum Jan Di gets a scholarship to the elite Shin Hwa High School. She is picked on by Gu Jun Pyo, one of the richest and most popular students, but soon Jun Pyo finds himself attracted to her.",TV-14,Ku Hye-Sun,Lee Min-ho,2009,2009,"['Yôko Kamio', 'Ji-ryun Yoon']",['Gi-Sang Jeon'],tt1370334,70,"https://m.media-amazon.com/images/M/MV5BNjc4ZGYyMGItMGMyZC00ZjZjLTgwOGQtY2RmNDNjYTRlMjM2XkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
"Nevertheless,",7.0,"Drama,Romance",13K,The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.,TV-14,Han So-hee,Song Kang,2021,2021,"['Jung Seo', 'Jung Won']",['Kim Ga-ram'],tt14518284,70,"https://m.media-amazon.com/images/M/MV5BYmJmYmQ4NjYtZGYxYS00NmNjLTk0OTQtZjYyYWRhYTcwZmFjXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg"
Tastefully Yours,7.3,"Comedy,Drama,Romance",3.5K,"A food company heir running Seoul's top restaurant meets a passionate rural chef. Despite his indifference to taste, they develop feelings while operating a small eatery together in Jeonju.",,Kang Ha-neul,Go Min-si,2025,2025,['Jung Soo Yoon'],['Park Dan-hee'],tt36722167,60,"https://m.media-amazon.com/images/M/MV5BZDA5NjMwODktNzE0My00MGMxLTlhMzQtZDU2YTRjMzRlNDUwXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
Tale of the Nine Tailed,7.9,"Fantasy,History,Horror",12K,An urban dark fantasy drama about a gumiho who settles into the city and a producer who is after it.,,Lee Dong-wook,Kim Bum,2020,\N,['Woo-Ri Han'],"['Nam Hyeong Jo', 'Kang Sin-hyo']",tt12879418,70,"https://m.media-amazon.com/images/M/MV5BZjA3OGM2N2MtN2ZiOS00MWQxLTg0YmYtMTcxODMyYzA4YzYwXkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg"
